[12:46:34] [info] Immortal: Creating window Vulkan Test (1920, 1080)
[12:46:34] [info] Immortal: VK_KHR_get_physical_device_properties2 is available. Enabling it!
[12:46:34] [info] Immortal: VK_EXT_debug_utils is available. Enabling it!
[12:46:35] [info] Immortal: Enabled Validation Layers: 
[12:46:35] [info] Immortal:   	VK_LAYER_KHRONOS_synchronization2
[12:46:35] [info] Immortal:   	VK_EXT_shader_atomic_float
[12:46:35] [info] Immortal:   	VK_EXT_shader_demote_to_helper_invocation
[12:46:35] [info] Immortal:   	VK_EXT_shader_image_atomic_int64
[12:46:35] [info] Immortal:   	VK_EXT_shader_subgroup_ballot
[12:46:35] [info] Immortal:   	VK_EXT_shader_subgroup_vote
[12:46:35] [info] Immortal:   	VK_EXT_shader_viewport_index_layer
[12:46:35] [info] Immortal:   	VK_EXT_subgroup_size_control
[12:46:35] [info] Immortal:   	VK_EXT_texel_buffer_alignment
[12:46:35] [info] Immortal:   	VK_EXT_tooling_info
[12:46:35] [info] Immortal:   	VK_EXT_transform_feedback
[12:46:35] [info] Immortal:   	VK_EXT_vertex_attribute_divisor
[12:46:35] [info] Immortal:   	VK_EXT_ycbcr_image_arrays
[12:46:35] [info] Immortal:   	VK_NV_acquire_winrt_display
[12:46:35] [info] Immortal:   	VK_NV_clip_space_w_scaling
[12:46:35] [info] Immortal:   	VK_NV_compute_shader_derivatives
[12:46:35] [info] Immortal:   	VK_NV_cooperative_matrix
[12:46:35] [info] Immortal:   	VK_NV_corner_sampled_image
[12:46:35] [info] Immortal:   	VK_NV_coverage_reduction_mode
[12:46:35] [info] Immortal:   	VK_NV_cuda_kernel_launch
[12:46:35] [info] Immortal:   	VK_NV_dedicated_allocation
[12:46:35] [info] Immortal:   	VK_NV_dedicated_allocation_image_aliasing
[12:46:35] [info] Immortal:   	VK_NV_device_diagnostic_checkpoints
[12:46:35] [info] Immortal:   	VK_NV_device_diagnostics_config
[12:46:35] [info] Immortal:   	VK_NV_device_generated_commands
[12:46:35] [info] Immortal:   	VK_NV_external_memory
[12:46:35] [info] Immortal:   	VK_NV_external_memory_win32
[12:46:35] [info] Immortal:   	VK_NV_fill_rectangle
[12:46:35] [info] Immortal:   	VK_NV_fragment_coverage_to_color
[12:46:35] [info] Immortal:   	VK_NV_fragment_shader_barycentric
[12:46:35] [info] Immortal:   	VK_NV_fragment_shading_rate_enums
[12:46:35] [info] Immortal:   	VK_NV_framebuffer_mixed_samples
[12:46:35] [info] Immortal:   	VK_NV_geometry_shader_passthrough
[12:46:35] [info] Immortal:   	VK_NV_mesh_shader
[12:46:35] [info] Immortal:   	VK_NV_ray_tracing
[12:46:35] [info] Immortal:   	VK_NV_representative_fragment_test
[12:46:35] [info] Immortal:   	VK_NV_sample_mask_override_coverage
[12:46:35] [info] Immortal:   	VK_NV_scissor_exclusive
[12:46:35] [info] Immortal:   	VK_NV_shader_image_footprint
[12:46:35] [info] Immortal:   	VK_NV_shader_sm_builtins
[12:46:35] [info] Immortal:   	VK_NV_shader_subgroup_partitioned
[12:46:35] [info] Immortal:   	VK_NV_shading_rate_image
[12:46:35] [info] Immortal:   	VK_NV_viewport_array2
[12:46:35] [info] Immortal:   	VK_NV_viewport_swizzle
[12:46:35] [info] Immortal:   	VK_NV_win32_keyed_mutex
[12:46:35] [info] Immortal:   	VK_NVX_binary_import
[12:46:35] [info] Immortal:   	VK_NVX_image_view_handle
[12:46:35] [info] Immortal:   	VK_NVX_multiview_per_view_attributes
[12:46:35] [info] Immortal: Dedicated Allocation enabled
[12:46:35] [info] Immortal: Device supports the following requested extensions:
[12:46:35] [info] Immortal:   	VK_KHR_get_memory_requirements2
[12:46:35] [info] Immortal:   	VK_KHR_dedicated_allocation
[12:46:35] [info] Immortal:   	VK_KHR_swapchain
[12:46:36] [info] Immortal: Surface 支持下列格式:
[12:46:36] [info] Immortal:   	VK_FORMAT_B8G8R8A8_UNORM, VK_COLORSPACE_SRGB_NONLINEAR_KHR
[12:46:36] [info] Immortal:   	VK_FORMAT_B8G8R8A8_SRGB, VK_COLORSPACE_SRGB_NONLINEAR_KHR
[12:46:36] [info] Immortal:   	VK_FORMAT_A2B10G10R10_UNORM_PACK32, VK_COLORSPACE_SRGB_NONLINEAR_KHR
[12:46:36] [info] Immortal: Surface 支持下列显示模式:
[12:46:36] [info] Immortal:   	VK_PRESENT_MODE_FIFO_KHR
[12:46:36] [info] Immortal:   	VK_PRESENT_MODE_FIFO_RELAXED_KHR
[12:46:36] [info] Immortal:   	VK_PRESENT_MODE_MAILBOX_KHR
[12:46:36] [info] Immortal:   	VK_PRESENT_MODE_IMMEDIATE_KHR
[12:46:36] [warning] Immortal: (Swapchain) Surface 格式 (VK_FORMAT_UNDEFINED, VK_COLORSPACE_SRGB_NONLINEAR_KHR) 不支持. 已选择 (VK_FORMAT_B8G8R8A8_SRGB, VK_COLORSPACE_SRGB_NONLINEAR_KHR).
[12:46:36] [info] Immortal: (Swapchain)Image使用标识:
[12:46:36] [info] Immortal:   	VK_IMAGE_USAGE_TRANSFER_SRC_BIT
[12:46:36] [info] Immortal:   	VK_IMAGE_USAGE_COLOR_ATTACHMENT_BIT
[12:46:36] [warning] Immortal: (Swapchain) Composite alpha 'VK_COMPOSITE_ALPHA_INHERIT_BIT_KHR' 不支持. 已转为 'VK_COMPOSITE_ALPHA_OPAQUE_BIT_KHR.
[12:46:36] [info] Immortal: (Swapchain) 选择显示模式: VK_PRESENT_MODE_MAILBOX_KHR
[12:46:36] [info] Immortal: (Swapchain) 选择 Surface 格式: VK_FORMAT_B8G8R8A8_UNORM, VK_COLORSPACE_SRGB_NONLINEAR_KHR
[12:46:36] [info] Immortal: 选择了深度格式: VK_FORMAT_D32_SFLOAT
[12:47:05] [error] Immortal: [c\Immortal\Platform\Vulkan\VulkanInstance.cpp:22] -534740842 - VUID-vkDestroyImageView-imageView-parameter: Validation Error: [ VUID-vkDestroyImageView-imageView-parameter ] Object 0: handle = 0x19a1fbef6f0, type = VK_OBJECT_TYPE_INSTANCE; | MessageID = 0xe0208096 | Invalid VkImageView Object 0xa540ac0000000009. The Vulkan spec states: If imageView is not VK_NULL_HANDLE, imageView must be a valid VkImageView handle (https://vulkan.lunarg.com/doc/view/1.2.170.0/windows/1.2-extensions/vkspec.html#VUID-vkDestroyImageView-imageView-parameter)
[12:47:05] [error] Immortal: [c\Immortal\Platform\Vulkan\VulkanInstance.cpp:22] 1567320034 - UNASSIGNED-Threading-Info: Validation Error: [ UNASSIGNED-Threading-Info ] Object 0: handle = 0xa540ac0000000009, type = VK_OBJECT_TYPE_IMAGE_VIEW; | MessageID = 0x5d6b67e2 | Couldn't find VkImageView Object 0xa540ac0000000009. This should not happen and may indicate a bug in the application.
[12:47:05] [error] Immortal: [c\Immortal\Platform\Vulkan\VulkanInstance.cpp:22] 1567320034 - UNASSIGNED-Threading-Info: Validation Error: [ UNASSIGNED-Threading-Info ] Object 0: handle = 0xa540ac0000000009, type = VK_OBJECT_TYPE_IMAGE_VIEW; | MessageID = 0x5d6b67e2 | Couldn't find VkImageView Object 0xa540ac0000000009. This should not happen and may indicate a bug in the application.
[12:47:32] [info] Immortal: 选择了深度格式: VK_FORMAT_D32_SFLOAT
